0	1	2	3
0	4	1	5
0	6	1	7
0	9	1	8
0	10	1	11
0	1	12	13
0	4	2	6
0	7	2	5
0	10	2	8
0	2	9	12
0	2	11	13
0	8	3	4
0	5	3	9
0	3	6	10
0	3	7	13
0	11	3	12
0	11	4	7
0	13	4	9
0	12	4	10
0	5	6	12
0	8	5	11
0	13	5	10
0	6	8	13
0	9	6	11
0	12	7	8
0	7	9	10
1	4	2	7
1	2	5	6
1	2	8	11
1	13	2	9
1	10	2	12
1	4	3	10
1	3	5	12
1	9	3	6
1	3	7	11
1	8	3	13
1	6	4	13
1	12	4	8
1	9	4	11
1	7	5	8
1	5	9	10
1	11	5	13
1	10	6	8
1	6	11	12
1	12	7	9
1	13	7	10
2	13	3	4
2	8	3	5
2	11	3	6
2	3	7	12
2	10	3	9
2	4	5	10
2	4	8	9
2	11	4	12
2	5	9	11
2	12	5	13
2	9	6	7
2	6	8	12
2	10	6	13
2	13	7	8
2	7	10	11
3	11	4	5
3	12	4	6
3	7	4	9
3	13	5	6
3	5	7	10
3	7	6	8
3	8	9	12
3	8	10	11
3	11	9	13
3	10	12	13
4	6	5	7
4	5	8	13
4	12	5	9
4	8	6	11
4	10	6	9
4	7	8	10
4	13	7	12
4	11	10	13
5	8	6	9
5	11	6	10
5	9	7	13
5	7	11	12
5	12	8	10
6	7	10	12
6	13	7	11
6	12	9	13
7	9	8	11
8	9	10	13
8	12	11	13
9	11	10	12
